product_id,product_name,category,subcategory,cost_price
1,Break,Home,policy,397
2,Leave,Books,film,749
3,Scene,Home,establish,775
4,Yeah,Electronics,hair,2169
5,Main,Electronics,let,3613
6,Nothing,Clothing,gun,1777
7,System,Clothing,trip,576
8,Serve,Books,former,2236
9,Hour,Clothing,likely,2353
10,Be,Home,firm,1587
11,Writer,Books,will,1675
12,Relationship,Home,view,1798
13,I,Home,number,2295
14,Option,Home,exist,3478
15,Fight,Home,young,2791
16,Across,Clothing,avoid,1822
17,Ball,Electronics,information,2006
18,Knowledge,Clothing,else,1775
19,Few,Books,draw,4733
20,Also,Electronics,anything,2497
21,Happen,Clothing,boy,4868
22,Kitchen,Electronics,drive,1433
23,Mouth,Electronics,company,2196
24,Tax,Electronics,security,851
25,Several,Books,onto,3456
26,Design,Home,list,1140
27,Billion,Books,role,2489
28,Leave,Electronics,item,4411
29,While,Clothing,page,4700
30,Its,Home,vote,4323
31,High,Books,usually,2235
32,Paper,Books,which,1168
33,When,Clothing,exactly,2428
34,Office,Clothing,hundred,2859
35,Year,Home,order,1713
36,Player,Books,including,4053
37,Ok,Books,sit,2639
38,Other,Electronics,think,1705
39,Any,Clothing,claim,3562
40,Wall,Home,learn,369
41,Small,Books,father,4435
42,Great,Home,someone,3984
43,Voice,Books,money,733
44,Source,Home,study,827
45,Campaign,Books,drug,2583
46,Late,Home,Mrs,4867
47,Meet,Home,office,2650
48,Save,Books,Congress,983
49,Including,Electronics,agreement,4246
50,Anyone,Electronics,once,1058
51,Catch,Clothing,threat,838
52,Size,Electronics,allow,2317
53,Race,Books,whom,4166
54,Unit,Books,modern,3275
55,Near,Clothing,bag,941
56,Standard,Clothing,product,1649
57,View,Electronics,report,218
58,Organization,Books,administration,1819
59,Although,Home,sometimes,702
60,Big,Electronics,defense,3567
61,Mission,Home,become,3902
62,Similar,Books,clear,3637
63,Ago,Books,answer,449
64,Scientist,Books,season,3886
65,Space,Clothing,budget,3317
66,Modern,Books,than,2721
67,Letter,Home,dog,2326
68,Change,Books,end,234
69,Of,Electronics,during,4163
70,Research,Clothing,teach,539
71,Home,Home,often,427
72,Value,Clothing,story,1118
73,Fly,Clothing,recognize,4533
74,Only,Electronics,ability,2866
75,For,Books,radio,1389
76,Establish,Home,space,2906
77,Firm,Electronics,hard,2556
78,Concern,Books,newspaper,3220
79,Likely,Home,my,569
80,So,Books,four,3563
81,Film,Books,before,2969
82,Think,Home,southern,376
83,Establish,Electronics,eight,4624
84,People,Books,become,4256
85,Mr,Books,tough,1065
86,Gun,Home,fine,1695
87,Answer,Books,protect,4752
88,Box,Electronics,second,437
89,Join,Electronics,green,1925
90,Ready,Clothing,worker,2800
91,Two,Home,something,2528
92,Better,Home,management,4183
93,Democrat,Home,fact,4338
94,Hard,Home,future,3564
95,Interesting,Home,another,2221
96,Before,Clothing,letter,221
97,Court,Books,market,624
98,Identify,Electronics,third,4445
99,Central,Books,want,3286
100,True,Home,car,4015
101,Lead,Home,act,4612
102,Market,Books,consider,2883
103,Few,Clothing,return,2331
104,Attention,Electronics,surface,2478
105,Store,Home,market,1173
106,Culture,Electronics,deep,2331
107,Building,Books,play,2323
108,Sure,Home,most,4354
109,Suddenly,Electronics,condition,4581
110,Buy,Electronics,answer,3025
111,Conference,Electronics,wife,3678
112,Ahead,Electronics,whatever,2166
113,Those,Clothing,financial,1556
114,Avoid,Home,movie,3191
115,Number,Home,cost,4041
116,Mother,Books,follow,4989
117,Across,Electronics,hot,2477
118,Pay,Books,tough,1075
119,Laugh,Books,reflect,2937
120,Project,Home,still,4926
121,One,Electronics,both,4006
122,Camera,Books,her,2583
123,Base,Books,situation,1835
124,Teacher,Clothing,foreign,3028
125,Mouth,Home,personal,2481
126,Test,Books,many,2986
127,Realize,Home,fear,1756
128,Talk,Books,fast,1549
129,Book,Home,Republican,557
130,Break,Clothing,seat,4821
131,Visit,Clothing,poor,4170
132,Among,Electronics,everything,126
133,Affect,Home,school,4362
134,Option,Home,such,4149
135,Certainly,Home,statement,2574
136,Record,Home,ever,3457
137,Future,Electronics,clear,3050
138,Ground,Electronics,visit,113
139,Line,Clothing,few,4463
140,Medical,Home,first,2223
141,Above,Books,line,2210
142,Simple,Books,represent,4583
143,Reach,Home,direction,2745
144,Watch,Home,center,4435
145,Red,Clothing,someone,2314
146,My,Clothing,television,1051
147,Position,Home,industry,494
148,Head,Clothing,tonight,2516
149,Radio,Books,station,4154
150,Parent,Electronics,the,2231
151,Have,Electronics,turn,2779
152,Hundred,Books,identify,2214
153,This,Clothing,commercial,4642
154,Inside,Clothing,traditional,1369
155,Whose,Clothing,apply,2894
156,Run,Home,over,1269
157,Fly,Home,particular,4408
158,Two,Clothing,feeling,4176
159,Team,Electronics,Democrat,701
160,Visit,Clothing,most,436
161,Garden,Home,church,4201
162,Think,Books,different,3691
163,Lay,Electronics,wife,3229
164,Large,Books,send,4465
165,Game,Home,likely,2087
166,Heart,Home,sit,3197
167,View,Books,recent,876
168,Force,Electronics,movie,2996
169,Meet,Home,major,932
170,View,Books,newspaper,2828
171,Industry,Books,someone,2017
172,Generation,Clothing,ok,3616
173,Decide,Books,economy,484
174,Provide,Clothing,but,841
175,Serve,Electronics,I,1661
176,Central,Home,year,3502
177,Keep,Electronics,move,4050
178,Seem,Books,of,4024
179,Team,Clothing,thing,1004
180,Will,Books,whether,4961
181,Character,Clothing,anyone,4587
182,Amount,Electronics,game,2587
183,I,Clothing,such,486
184,Prove,Home,very,4856
185,Group,Clothing,though,454
186,There,Books,practice,2340
187,Doctor,Clothing,experience,337
188,Add,Clothing,pattern,3519
189,Put,Books,because,3589
190,Likely,Home,someone,4606
191,By,Books,what,4624
192,Senior,Electronics,wife,3299
193,Table,Electronics,risk,1347
194,Upon,Books,suffer,1071
195,Fact,Electronics,defense,376
196,Understand,Home,near,3435
197,Paper,Books,benefit,3741
198,Near,Home,collection,4682
199,Size,Books,sometimes,4282
200,Street,Home,kitchen,744
201,Land,Clothing,up,3912
202,If,Clothing,build,3338
203,Catch,Clothing,short,4714
204,Clear,Electronics,religious,3004
205,Pull,Clothing,of,327
206,Half,Electronics,attorney,4865
207,Prevent,Home,yet,2623
208,Ability,Clothing,garden,4433
209,Wind,Electronics,talk,4043
210,Trade,Books,TV,1439
211,Hotel,Books,common,974
212,Hit,Home,foot,1971
213,Someone,Books,edge,4557
214,Him,Books,high,603
215,Nor,Clothing,dark,4390
216,Light,Electronics,then,4781
217,Range,Home,two,891
218,School,Clothing,glass,1946
219,She,Home,concern,2536
220,Hot,Home,he,457
221,Door,Clothing,by,4905
222,Option,Home,increase,4731
223,Sign,Clothing,customer,1822
224,Movie,Books,century,3498
225,Image,Home,simply,187
226,Could,Home,look,4081
227,Imagine,Clothing,interest,404
228,Season,Electronics,Mr,3416
229,None,Electronics,suddenly,4384
230,Rate,Books,condition,4652
231,Industry,Home,teacher,4758
232,Provide,Clothing,product,2591
233,Particular,Home,place,4272
234,Without,Home,little,3467
235,Their,Clothing,poor,842
236,Man,Books,alone,2064
237,Behind,Clothing,expert,3427
238,Worry,Clothing,teacher,3905
239,Reason,Books,big,362
240,Matter,Home,interview,2513
241,Side,Home,enjoy,2546
242,Music,Books,focus,367
243,Something,Books,of,4480
244,Health,Clothing,high,4206
245,Record,Books,marriage,971
246,Possible,Books,far,949
247,Around,Electronics,store,2835
248,City,Electronics,remember,1196
249,Painting,Clothing,style,3556
250,Couple,Electronics,enjoy,762
251,Do,Books,consumer,4379
252,Town,Clothing,he,3430
253,Bit,Clothing,oil,342
254,Girl,Clothing,area,207
255,Card,Electronics,whether,1103
256,Those,Home,present,4124
257,Foreign,Home,executive,1603
258,Us,Books,shoulder,3483
259,Sound,Electronics,once,2687
260,Act,Clothing,realize,3990
261,Wife,Books,government,4413
262,Good,Clothing,soldier,4755
263,Read,Clothing,third,1925
264,Kitchen,Clothing,interview,4973
265,Order,Clothing,public,3072
266,Imagine,Electronics,thing,2056
267,Star,Books,especially,1977
268,Leader,Home,dinner,4873
269,Beat,Home,happen,1151
270,Suddenly,Clothing,card,3088
271,Tv,Clothing,add,2999
272,Or,Books,wonder,1222
273,Health,Electronics,number,4361
274,Happy,Clothing,method,2879
275,Different,Home,your,4773
276,Middle,Clothing,save,2695
277,Movement,Electronics,discover,3258
278,Final,Books,deal,1562
279,Take,Home,even,261
280,Including,Electronics,cultural,2164
281,Realize,Clothing,from,3930
282,Record,Home,senior,1783
283,Find,Electronics,happen,3832
284,Lead,Home,office,409
285,Just,Clothing,first,2685
286,Game,Clothing,every,3134
287,Feeling,Home,green,560
288,Family,Clothing,break,1021
289,Never,Electronics,today,4164
290,Usually,Home,offer,4447
291,Entire,Electronics,choose,4544
292,Population,Electronics,popular,1261
293,Fact,Electronics,five,4631
294,Price,Electronics,explain,3527
295,Her,Electronics,police,486
296,Building,Books,baby,2826
297,Enter,Electronics,Mr,4680
298,Hour,Books,time,1559
299,Lot,Home,seat,1572
300,Coach,Home,matter,1901
301,News,Books,about,3726
302,Apply,Home,soldier,1762
303,Scientist,Electronics,growth,915
304,Say,Clothing,itself,3312
305,Yard,Home,order,3952
306,Hope,Electronics,where,4982
307,Organization,Electronics,relationship,283
308,Order,Electronics,remain,3464
309,Defense,Clothing,travel,1679
310,Local,Electronics,long,3750
311,Late,Clothing,Congress,4478
312,Very,Home,while,2243
313,Type,Clothing,finish,4250
314,Fight,Home,discussion,1197
315,Mr,Clothing,start,3456
316,Form,Books,last,2959
317,Effort,Electronics,seat,612
318,Pay,Home,rate,3545
319,Loss,Clothing,enter,1573
320,Letter,Electronics,generation,3571
321,Too,Home,four,1085
322,Accept,Clothing,difference,3069
323,Whose,Electronics,out,2474
324,Computer,Books,across,2293
325,Loss,Clothing,it,4819
326,Technology,Home,nice,281
327,Hand,Books,choose,855
328,Middle,Books,company,1387
329,Miss,Clothing,fish,913
330,Turn,Home,late,4617
331,From,Home,present,1883
332,Out,Home,address,4601
333,Student,Home,institution,3719
334,Reduce,Books,begin,175
335,Either,Home,free,1463
336,Interest,Books,century,3126
337,Make,Home,follow,3075
338,Could,Clothing,road,4239
339,Model,Books,significant,4431
340,Poor,Electronics,region,4937
341,Your,Clothing,future,3816
342,Call,Home,attorney,4826
343,Perhaps,Clothing,writer,2176
