item_id,order_id,product_id,quantity,unit_price,discount_percent
1,935,428,2,4029,69
2,192,475,3,4063,61
3,524,4,5,944,50
4,312,447,3,4205,55
5,45,272,5,4541,87
6,379,413,3,665,49
7,796,404,2,3523,43
8,635,180,1,2018,38
9,920,369,1,1874,75
10,694,455,1,4877,96
11,287,89,1,3557,60
12,489,354,3,1071,98
13,890,450,1,133,10
14,425,52,4,3380,26
15,5661,399,1,1991,100
16,694,357,3,3484,33
17,48,306,-2,689,0
18,501,378,2,1037,2
19,642,425,5,1073,73
20,5592,136,2,4181,18
21,144,232,5,4625,82
22,348,359,5,2623,58
23,691,210,3,850,47
24,914,111,1,858,80
25,539,163,5,4580,89
26,931,15,3,1109,51
27,1000,32,4,1588,18
28,200,301,3,2695,96
29,908,323,5,2800,88
30,394,129,3,4932,61
31,194,445,2,3543,23
32,863,30,5,1340,80
33,18,17,3,3178,22
34,127,388,2,4055,23
35,191,108,3,2615,77
36,376,248,1,1289,27
37,487,361,2,2093,14
38,326,436,5,776,42
39,653,57,3,1620,66
40,467,350,-3,3027,10
41,91,456,3,3041,19
42,63,46,5,3681,12
43,342,420,2,4436,86
44,703,362,5,3424,31
45,976,222,3,3362,59
46,92,222,1,428,65
47,801,14,3,137,79
48,770,172,3,3292,65
49,439,192,5,1672,56
50,827,438,3,1165,55
51,309,255,2,4407,44
52,352,260,3,2733,22
53,67,360,3,406,50
54,276,491,1,2503,85
55,965,327,3,3763,48
56,548,342,3,3296,14
57,580,100,3,1661,70
58,477,430,1,4576,19
59,884,292,2,2297,3
60,137,438,3,2721,61
61,692,266,3,1252,73
62,314,405,1,1828,15
63,257,138,2,1012,57
64,691,18,4,743,74
65,466,79,3,520,62
66,416,381,2,2938,68
67,287,53,5,191,5
68,264,154,2,2568,3
69,19,403,5,1221,0
70,146,164,4,1247,76
71,636,17,4,3463,97
72,542,415,3,784,19
73,52,38,2,2315,48
74,710,28,5,4952,97
75,461,196,3,3690,46
76,203,52,4,4324,10
77,854,19,3,553,24
78,476,10,1,2974,34
79,364,169,3,434,60
80,740,88,2,2699,49
81,481,275,4,3048,26
82,274,401,1,4951,40
83,437,236,1,2695,50
84,5182,298,4,2753,33
85,246,178,1,4078,24
86,633,368,5,297,39
87,5502,23,4,4238,7
88,269,358,2,1826,95
89,779,411,4,855,45
90,553,225,5,2783,42
91,389,193,3,1323,20
92,221,307,1,806,57
93,575,158,5,1864,42
94,112,168,2,3741,3
95,708,449,1,2203,67
96,921,393,3,1190,15
97,264,457,1,1915,37
98,704,186,3,2976,100
99,235,117,2,2041,36
100,35,259,1,2478,3
101,585,449,2,4652,91
102,779,202,3,2369,25
103,960,486,4,4528,69
104,917,474,1,4672,82
105,922,362,4,2469,12
106,633,84,5,4259,7
107,440,248,3,4158,2
108,541,350,2,118,25
109,963,490,-3,1925,28
110,624,132,3,2935,74
111,106,457,4,4726,66
112,744,184,2,3305,48
113,437,80,3,3409,65
114,83,121,4,640,21
115,440,321,5,3905,54
116,25,168,5,3122,91
117,156,98,3,101,22
118,711,155,2,313,87
119,335,156,2,4783,47
120,140,82,5,4918,90
121,995,214,5,237,66
122,305,69,4,2670,87
123,756,261,3,1272,76
124,618,33,1,4743,45
125,304,77,2,4416,62
126,368,401,1,890,95
127,703,71,-3,2472,11
128,702,262,2,2282,79
129,525,389,3,4686,50
130,264,216,3,520,7
131,884,393,2,4553,19
132,332,395,3,1825,65
133,240,481,2,3455,21
134,789,261,3,4710,41
135,65,125,1,574,83
136,352,53,4,2446,34
137,388,53,2,4961,0
138,789,457,1,4138,95
139,463,325,5,4354,19
140,823,200,1,830,22
141,152,178,3,365,11
142,921,61,2,2439,10
143,867,4,1,1209,1
144,65,46,3,1393,8
145,938,316,3,972,59
146,848,468,5,2671,74
147,5053,138,1,4323,45
148,602,341,3,4603,30
149,328,360,3,2875,28
150,789,171,2,677,77
151,5856,63,3,3603,17
152,140,182,1,4988,82
153,712,415,2,1861,89
154,22,158,5,1745,40
155,571,312,4,3148,34
156,554,87,-2,4185,47
157,690,208,1,2253,59
158,79,333,3,1282,88
159,345,489,5,2740,43
160,625,408,1,1355,56
161,691,309,3,3604,55
162,930,315,2,4980,56
163,418,67,4,2024,37
164,108,279,4,1471,2
165,919,269,3,4212,18
166,742,167,4,1868,90
167,5572,8,5,4477,34
168,801,447,4,1157,36
169,214,352,4,1222,60
170,113,367,3,4289,59
171,799,324,3,2955,82
172,426,14,1,2717,84
173,335,410,3,1043,45
174,586,471,4,1701,79
175,830,53,4,2798,93
176,751,201,4,671,34
177,647,272,2,1369,81
178,161,204,4,2005,21
179,5479,437,5,1285,3
180,665,172,5,4878,38
181,843,84,3,3418,39
182,537,185,2,3700,42
183,415,70,1,3789,63
184,5703,396,5,3480,43
185,338,461,5,4071,56
186,403,191,2,3707,37
187,508,154,1,1000,12
188,731,442,2,4867,34
189,370,453,3,844,13
190,19,375,1,3630,3
191,305,100,1,2259,27
192,148,137,4,380,20
193,923,36,1,2370,79
194,135,95,3,4716,69
195,396,132,5,3137,32
196,751,471,2,2095,1
197,673,276,2,2594,50
198,209,43,5,3642,12
199,603,440,2,4309,21
200,397,43,4,2981,19
201,616,29,5,4424,83
202,324,174,2,661,27
203,359,339,4,4856,99
204,84,117,4,1454,35
205,191,228,1,1483,22
206,710,320,4,4626,86
207,305,214,1,3653,100
208,220,75,2,4308,85
209,765,373,2,3695,45
210,12,18,1,1017,65
211,381,438,1,447,66
212,859,64,4,1615,91
213,739,489,1,3636,76
214,40,300,4,4159,40
215,481,111,1,2847,35
216,522,284,4,888,0
217,867,470,5,3672,84
218,290,74,3,2739,97
219,635,179,3,2443,72
220,508,348,1,2191,79
221,743,404,1,1514,97
222,292,144,3,4077,85
223,757,287,1,1760,15
224,770,360,3,517,29
225,766,419,3,1932,34
226,720,483,2,2891,77
227,460,428,3,318,74
228,897,35,4,901,39
229,206,405,5,3921,23
230,112,37,5,4095,97
231,268,472,3,2377,58
232,667,428,4,2652,90
233,405,258,5,2478,11
234,185,422,4,140,5
235,531,149,5,716,76
236,768,49,2,1456,45
237,592,238,3,3915,96
238,11,25,1,2504,11
239,593,287,3,599,24
240,493,321,4,4917,30
241,197,105,5,2746,71
242,739,127,1,694,49
243,311,254,2,1558,54
244,879,373,4,4881,24
245,118,221,5,1455,83
246,769,23,4,266,30
247,349,214,1,2286,33
248,476,131,3,3991,52
249,802,303,2,3602,24
250,52,368,5,215,44
251,2,240,4,2582,3
252,144,55,2,117,82
253,917,355,4,464,43
254,68,490,1,1347,71
255,542,208,5,2953,84
256,60,417,5,3274,34
257,50,247,3,2255,41
258,927,264,-2,3495,87
259,950,323,-3,1275,87
260,952,183,5,951,63
261,77,331,2,278,54
262,259,54,1,4793,85
263,776,286,1,2939,81
264,693,343,2,3479,0
265,957,37,4,3978,100
266,656,36,4,2074,33
267,816,20,1,1312,9
268,663,500,2,4594,58
269,61,131,3,3273,87
270,71,113,5,2341,67
271,923,26,1,166,55
272,753,343,5,1646,84
273,400,172,5,686,57
274,302,456,5,2525,25
275,652,3,2,3992,59
276,188,122,1,2527,73
277,996,175,3,3454,68
278,463,111,2,4280,79
279,357,88,5,3785,2
280,899,489,2,2523,51
281,191,456,1,373,74
282,494,348,5,3643,70
283,549,264,1,1157,80
284,316,216,2,1733,33
285,731,42,5,1548,87
286,310,93,2,3417,83
287,611,331,-3,1858,61
288,20,246,3,3010,43
289,520,267,5,4602,56
290,782,495,1,2794,59
291,691,8,1,3661,73
292,731,186,4,4476,20
293,448,85,1,3073,83
294,61,236,5,1070,42
295,357,270,3,3369,11
296,64,316,5,4786,23
297,401,341,1,364,2
298,525,63,3,4763,11
299,386,135,4,357,79
300,250,222,1,1582,57
301,915,427,4,382,80
302,72,84,4,4288,83
303,893,269,2,4205,75
304,5410,24,1,2959,93
305,5298,32,1,4268,96
306,297,443,5,3664,76
307,647,468,1,3915,69
308,783,99,4,4729,12
309,155,309,2,2914,48
310,10,288,4,2589,95
311,978,287,5,1975,75
312,187,213,5,1911,120
313,194,105,5,1870,87
314,959,54,-1,3622,6
315,380,98,1,2181,42
316,824,154,2,918,77
317,577,144,5,889,77
318,416,164,1,3234,120
319,776,332,1,1963,36
320,226,315,4,342,74
321,774,7,-2,1261,14
322,523,335,4,334,87
323,190,158,4,959,33
324,90,258,5,808,34
325,334,149,3,2467,8
326,499,14,2,3999,46
327,990,265,3,360,41
328,145,339,4,765,3
329,110,371,5,3390,9
330,386,128,4,1121,30
331,805,150,1,3456,29
332,517,316,2,3002,3
333,794,374,3,1845,87
334,283,219,1,4251,44
335,224,387,4,1424,95
336,644,432,1,2946,31
337,507,49,1,3999,3
338,367,407,5,914,71
339,809,412,1,4616,14
340,797,361,2,4559,63
341,117,496,5,2897,39
342,748,347,1,2986,36
343,949,124,1,3241,43
344,376,252,3,4603,70
345,268,167,2,800,52
346,840,156,5,1665,99
347,702,396,4,1744,41
348,142,86,4,2291,74
349,511,384,1,1821,42
350,884,132,1,2067,32
351,234,155,5,3893,55
352,903,231,1,3639,50
353,712,437,2,3466,68
354,355,330,4,1120,28
355,806,376,4,4489,81
356,643,387,4,386,82
357,554,359,1,280,51
358,880,373,1,3083,20
359,617,492,2,3615,58
360,907,91,2,2452,79
361,585,172,4,820,21
362,915,261,2,4358,95
363,699,92,4,4836,79
364,629,373,2,2687,60
365,994,165,1,3849,7
366,209,117,5,4263,56
367,281,195,1,4525,24
368,839,145,3,2344,62
369,31,325,1,3079,94
370,777,41,5,2599,17
371,71,77,4,4848,26
372,123,39,2,4657,21
373,650,259,1,4873,81
374,473,275,3,3322,60
375,630,28,1,1663,10
376,260,336,2,1082,48
377,16,187,2,1859,57
378,801,311,5,3237,54
379,592,81,1,331,28
380,954,287,5,1461,24
381,292,350,3,380,95
382,792,311,4,2126,82
383,27,303,3,4430,19
384,128,366,4,3741,84
385,890,212,4,4279,0
386,536,323,5,2151,91
387,591,441,2,4421,77
388,7,33,1,4380,11
389,988,168,3,4024,80
390,671,278,3,1120,80
391,680,67,5,1606,51
392,136,500,3,1991,23
393,231,326,5,3343,5
394,790,89,2,4027,120
395,191,256,1,3410,74
396,850,468,5,1190,49
397,136,102,-5,3641,48
398,464,339,3,484,6
399,40,211,3,2138,51
400,256,332,2,3145,63
401,650,241,2,4451,74
402,836,2,1,4138,11
403,899,264,3,2227,67
404,864,492,4,423,52
405,598,301,4,1678,46
406,969,165,3,351,51
407,882,309,3,102,53
408,999,399,2,1717,9
409,81,260,5,1988,86
410,717,343,2,2673,73
411,596,280,2,4848,53
412,943,470,4,2047,34
413,578,246,4,1180,29
414,465,66,3,3364,44
415,527,487,1,1093,72
416,457,291,4,1316,91
417,890,418,3,3461,26
