product_id,product_name,category,subcategory,cost_price
1,break,Home,policy,397
2,leave,Books,film,749
3,scene,Home,establish,775
4,yeah,Electronics,hair,2169
5,main,Electronics,let,3613
6,nothing,Clothing,gun,1777
7,   SYSTEM   ,Clothing,trip,576
8,serve,Books,former,2236
9,hour,Clothing,likely,2353
10,be,Home,firm,1587
11,writer,Books,will,1675
12,relationship,Home,view,1798
13,I,Home,number,2295
14,option,Home,exist,3478
15,fight,Home,young,2791
16,across,Clothing,avoid,1822
17,ball,Electronics,information,2006
18,knowledge,Clothing,else,1775
19,few,Books,draw,4733
20,also,Electronics,anything,2497
21,   HAPPEN   ,Clothing,boy,4868
22,kitchen,Electronics,drive,1433
23,mouth,Electronics,company,2196
24,tax,Electronics,security,851
25,several,Books,onto,3456
26,design,Home,list,1140
27,billion,Books,role,2489
28,leave,Electronics,item,4411
29,while,Clothing,page,4700
30,its,Home,vote,4323
31,   HIGH   ,Books,usually,2235
32,paper,Books,which,1168
33,when,Clothing,exactly,2428
34,office,Clothing,hundred,2859
35,year,Home,order,1713
36,player,Books,including,4053
37,ok,Books,sit,2639
38,other,Electronics,think,1705
39,any,Clothing,claim,3562
40,wall,Home,learn,369
41,small,Books,father,4435
42,great,Home,someone,3984
43,voice,Books,money,733
44,source,Home,study,827
45,campaign,Books,drug,2583
46,late,Home,Mrs,4867
47,meet,Home,office,2650
48,save,Books,Congress,983
49,including,Electronics,agreement,4246
50,anyone,Electronics,once,1058
51,catch,Clothing,threat,838
52,size,Electronics,allow,2317
53,race,Books,whom,4166
54,unit,Books,modern,3275
55,near,Clothing,bag,941
56,standard,Clothing,product,1649
57,view,Electronics,report,218
58,   ORGANIZATION   ,Books,administration,1819
59,although,Home,sometimes,702
60,big,Electronics,defense,3567
61,mission,Home,become,3902
62,similar,Books,clear,3637
63,ago,Books,answer,449
64,scientist,Books,season,3886
65,space,Clothing,budget,3317
66,modern,Books,than,2721
67,   LETTER   ,Home,dog,2326
68,change,Books,end,234
69,of,Electronics,during,4163
70,research,Clothing,teach,539
71,home,Home,often,427
72,value,Clothing,story,1118
73,fly,Clothing,recognize,4533
74,only,Electronics,ability,2866
75,for,Books,radio,1389
76,establish,Home,space,2906
77,firm,Electronics,hard,2556
78,concern,Books,newspaper,3220
79,likely,Home,my,569
80,so,Books,four,3563
81,film,Books,before,2969
82,think,Home,southern,376
83,establish,Electronics,eight,4624
84,people,Books,become,4256
85,Mr,Books,tough,1065
86,gun,Home,fine,1695
87,answer,Books,protect,4752
88,box,Electronics,second,437
89,join,Electronics,green,1925
90,ready,Clothing,worker,2800
91,two,Home,something,2528
92,better,Home,management,4183
93,Democrat,Home,fact,4338
94,hard,Home,future,3564
95,interesting,Home,another,2221
96,before,Clothing,letter,221
97,court,Books,market,624
98,identify,Electronics,third,4445
99,central,Books,want,3286
100,true,Home,car,4015
101,lead,Home,act,4612
102,market,Books,consider,2883
103,few,Clothing,return,2331
104,attention,Electronics,surface,2478
105,store,Home,market,1173
106,culture,Electronics,deep,2331
107,building,Books,play,2323
108,sure,Home,most,4354
109,suddenly,Electronics,condition,4581
110,buy,Electronics,answer,3025
111,conference,Electronics,wife,3678
112,ahead,Electronics,whatever,2166
113,those,Clothing,financial,1556
114,avoid,Home,movie,3191
115,number,Home,cost,4041
116,mother,Books,follow,4989
117,across,Electronics,hot,2477
118,pay,Books,tough,1075
119,laugh,Books,reflect,2937
120,project,Home,still,4926
121,one,Electronics,both,4006
122,camera,Books,her,2583
123,base,Books,situation,1835
124,teacher,Clothing,foreign,3028
125,mouth,Home,personal,2481
126,test,Books,many,2986
127,realize,Home,fear,1756
128,talk,Books,fast,1549
129,book,Home,Republican,557
130,break,Clothing,seat,4821
131,visit,Clothing,poor,4170
132,among,Electronics,everything,126
133,affect,Home,school,4362
134,option,Home,such,4149
135,   CERTAINLY   ,Home,statement,2574
136,record,Home,ever,3457
137,future,Electronics,clear,3050
138,ground,Electronics,visit,113
139,line,Clothing,few,4463
140,medical,Home,first,2223
141,above,Books,line,2210
142,simple,Books,represent,4583
143,reach,Home,direction,2745
144,watch,Home,center,4435
145,red,Clothing,someone,2314
146,my,Clothing,television,1051
147,position,Home,industry,494
148,head,Clothing,tonight,2516
149,radio,Books,station,4154
150,parent,Electronics,the,2231
151,have,Electronics,turn,2779
152,hundred,Books,identify,2214
153,this,Clothing,commercial,4642
154,inside,Clothing,traditional,1369
155,whose,Clothing,apply,2894
156,run,Home,over,1269
157,fly,Home,particular,4408
158,two,Clothing,feeling,4176
159,team,Electronics,Democrat,701
160,visit,Clothing,most,436
161,   GARDEN   ,Home,church,4201
162,think,Books,different,3691
163,lay,Electronics,wife,3229
164,large,Books,send,4465
165,game,Home,likely,2087
166,heart,Home,sit,3197
167,view,Books,recent,876
168,force,Electronics,movie,2996
169,meet,Home,major,932
170,view,Books,newspaper,2828
171,industry,Books,someone,2017
172,generation,Clothing,ok,3616
173,decide,Books,economy,484
174,provide,Clothing,but,841
175,serve,Electronics,I,1661
176,central,Home,year,3502
177,keep,Electronics,move,4050
178,seem,Books,of,4024
179,team,Clothing,thing,1004
180,will,Books,whether,4961
181,character,Clothing,anyone,4587
182,amount,Electronics,game,2587
183,I,Clothing,such,486
184,prove,Home,very,4856
185,group,Clothing,though,454
186,there,Books,practice,2340
187,doctor,Clothing,experience,337
188,   ADD   ,Clothing,pattern,3519
189,put,Books,because,3589
190,likely,Home,someone,4606
191,by,Books,what,4624
192,senior,Electronics,wife,3299
193,table,Electronics,risk,1347
194,upon,Books,suffer,1071
195,fact,Electronics,defense,376
196,understand,Home,near,3435
197,paper,Books,benefit,3741
198,near,Home,collection,4682
199,   SIZE   ,Books,sometimes,4282
200,street,Home,kitchen,744
201,land,Clothing,up,3912
202,   IF   ,Clothing,build,3338
203,catch,Clothing,short,4714
204,clear,Electronics,religious,3004
205,pull,Clothing,of,327
206,   HALF   ,Electronics,attorney,4865
207,prevent,Home,yet,2623
208,ability,Clothing,garden,4433
209,wind,Electronics,talk,4043
210,trade,Books,TV,1439
211,hotel,Books,common,974
212,hit,Home,foot,1971
213,someone,Books,edge,4557
214,him,Books,high,603
215,nor,Clothing,dark,4390
216,light,Electronics,then,4781
217,range,Home,two,891
218,school,Clothing,glass,1946
219,she,Home,concern,2536
220,hot,Home,he,457
221,door,Clothing,by,4905
222,option,Home,increase,4731
223,sign,Clothing,customer,1822
224,movie,Books,century,3498
225,image,Home,simply,187
226,could,Home,look,4081
227,imagine,Clothing,interest,404
228,season,Electronics,Mr,3416
229,none,Electronics,suddenly,4384
230,   RATE   ,Books,condition,4652
231,industry,Home,teacher,4758
232,   PROVIDE   ,Clothing,product,2591
233,particular,Home,place,4272
234,without,Home,little,3467
235,   THEIR   ,Clothing,poor,842
236,man,Books,alone,2064
237,behind,Clothing,expert,3427
238,worry,Clothing,teacher,3905
239,reason,Books,big,362
240,matter,Home,interview,2513
241,side,Home,enjoy,2546
242,music,Books,focus,367
243,something,Books,of,4480
244,health,Clothing,high,4206
245,record,Books,marriage,971
246,possible,Books,far,949
247,around,Electronics,store,2835
248,city,Electronics,remember,1196
249,painting,Clothing,style,3556
250,couple,Electronics,enjoy,762
251,do,Books,consumer,4379
252,town,Clothing,he,3430
253,bit,Clothing,oil,342
254,girl,Clothing,area,207
255,card,Electronics,whether,1103
256,those,Home,present,4124
257,foreign,Home,executive,1603
258,us,Books,shoulder,3483
259,sound,Electronics,once,2687
260,act,Clothing,realize,3990
261,wife,Books,government,4413
262,good,Clothing,soldier,4755
263,read,Clothing,third,1925
264,kitchen,Clothing,interview,4973
265,order,Clothing,public,3072
266,imagine,Electronics,thing,2056
267,star,Books,especially,1977
268,leader,Home,dinner,4873
269,beat,Home,happen,1151
270,suddenly,Clothing,card,3088
271,TV,Clothing,add,2999
272,or,Books,wonder,1222
273,health,Electronics,number,4361
274,happy,Clothing,method,2879
275,different,Home,your,4773
276,   MIDDLE   ,Clothing,save,2695
277,movement,Electronics,discover,3258
278,   FINAL   ,Books,deal,1562
279,take,Home,even,261
280,including,Electronics,cultural,2164
281,realize,Clothing,from,3930
282,record,Home,senior,1783
283,find,Electronics,happen,3832
284,lead,Home,office,409
285,just,Clothing,first,2685
286,game,Clothing,every,3134
287,feeling,Home,green,560
288,family,Clothing,break,1021
289,never,Electronics,today,4164
290,   USUALLY   ,Home,offer,4447
291,entire,Electronics,choose,4544
292,population,Electronics,popular,1261
293,fact,Electronics,five,4631
294,price,Electronics,explain,3527
295,her,Electronics,police,486
296,building,Books,baby,2826
297,enter,Electronics,Mr,4680
298,hour,Books,time,1559
299,lot,Home,seat,1572
300,coach,Home,matter,1901
301,news,Books,about,3726
302,apply,Home,soldier,1762
303,scientist,Electronics,growth,915
304,say,Clothing,itself,3312
305,yard,Home,order,3952
306,hope,Electronics,where,4982
307,organization,Electronics,relationship,283
308,order,Electronics,remain,3464
309,defense,Clothing,travel,1679
310,local,Electronics,long,3750
311,late,Clothing,Congress,4478
312,very,Home,while,2243
313,type,Clothing,finish,4250
314,fight,Home,discussion,1197
315,Mr,Clothing,start,3456
316,form,Books,last,2959
317,effort,Electronics,seat,612
318,pay,Home,rate,3545
319,loss,Clothing,enter,1573
320,letter,Electronics,generation,3571
321,too,Home,four,1085
322,accept,Clothing,difference,3069
323,whose,Electronics,out,2474
324,computer,Books,across,2293
325,loss,Clothing,it,4819
326,technology,Home,nice,281
327,hand,Books,choose,855
328,middle,Books,company,1387
329,miss,Clothing,fish,913
330,turn,Home,late,4617
331,from,Home,present,1883
332,out,Home,address,4601
333,student,Home,institution,3719
334,   REDUCE   ,Books,begin,175
335,either,Home,free,1463
336,interest,Books,century,3126
337,make,Home,follow,3075
338,could,Clothing,road,4239
339,model,Books,significant,4431
340,poor,Electronics,region,4937
341,your,Clothing,future,3816
342,call,Home,attorney,4826
343,perhaps,Clothing,writer,2176
344,message,Electronics,yourself,4156
345,factor,Electronics,avoid,4486
346,wish,Electronics,program,853
347,thought,Home,service,4783
348,take,Clothing,child,4773
349,good,Clothing,method,4617
350,station,Clothing,wind,1961
351,unit,Clothing,owner,858
352,defense,Clothing,none,1776
353,pass,Clothing,dark,4018
354,fall,Electronics,church,130
355,site,Books,everybody,4193
356,whole,Clothing,what,377
357,fund,Clothing,necessary,2458
